"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\dunca\Documents\development\apps\sayari\lib\__app\app_notes.md", "Markdown", 0, 8, 0, 7, 15
"c:\Users\dunca\Documents\development\apps\sayari\lib\__app\todo.md", "Markdown", 0, 5, 0, 4, 9
"c:\Users\dunca\Documents\development\apps\sayari\lib\__routing\routes.dart", "Dart", 47, 0, 5, 4, 56
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\breakpoints.dart", "Dart", 9, 0, 0, 3, 12
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\helpers.dart", "Dart", 68, 0, 3, 12, 83
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\spacing.dart", "Dart", 73, 0, 6, 12, 91
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\styler.dart", "Dart", 165, 0, 6, 42, 213
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\theme.dart", "Dart", 77, 0, 0, 3, 80
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\variables.dart", "Dart", 73, 0, 6, 14, 93
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\background_ops.dart", "Dart", 10, 0, 0, 3, 13
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\global.dart", "Dart", 66, 0, 1, 14, 81
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\helpers.dart", "Dart", 4, 0, 0, 2, 6
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\internet_connection.dart", "Dart", 4, 0, 27, 9, 40
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\keyboard.dart", "Dart", 17, 0, 0, 5, 22
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\loaders.dart", "Dart", 2, 0, 0, 2, 4
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\misc.dart", "Dart", 20, 0, 0, 5, 25
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\navigation.dart", "Dart", 61, 0, 0, 15, 76
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\scroll.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\ui.dart", "Dart", 4, 0, 0, 3, 7
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\_common\url_launcher.dart", "Dart", 19, 0, 2, 3, 24
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\checks_date.dart", "Dart", 11, 0, 0, 4, 15
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\date_info.dart", "Dart", 82, 0, 0, 18, 100
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\get_week_no.dart", "Dart", 16, 0, 2, 3, 21
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\jump_to_date.dart", "Dart", 44, 0, 0, 6, 50
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\misc.dart", "Dart", 121, 0, 1, 21, 143
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\months.dart", "Dart", 23, 0, 0, 6, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\date_time\weeks.dart", "Dart", 81, 0, 0, 3, 84
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\errors\error_handler.dart", "Dart", 21, 0, 3, 6, 30
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\forms\form_validation_helper.dart", "Dart", 26, 0, 0, 7, 33
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\forms\regex_checks.dart", "Dart", 13, 0, 0, 6, 19
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\pending\pending_actions.dart", "Dart", 43, 0, 1, 6, 50
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\pending\retry_pending_actions.dart", "Dart", 35, 0, 13, 3, 51
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\data.dart", "Dart", 28, 0, 0, 6, 34
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\features.dart", "Dart", 16, 0, 0, 3, 19
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\files.dart", "Dart", 11, 0, 0, 3, 14
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\item.dart", "Dart", 76, 0, 3, 11, 90
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\activity.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\ble.dart", "Dart", 18, 0, 3, 8, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\data.dart", "Dart", 16, 0, 0, 6, 22
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\datetime.dart", "Dart", 55, 0, 1, 14, 70
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\global.dart", "Dart", 22, 0, 4, 9, 35
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\input.dart", "Dart", 120, 0, 6, 27, 153
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\misc.dart", "Dart", 55, 0, 2, 16, 73
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\pomodoro.dart", "Dart", 66, 0, 9, 20, 95
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\quill.dart", "Dart", 30, 0, 4, 12, 46
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\selection.dart", "Dart", 23, 0, 1, 6, 30
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\theme.dart", "Dart", 22, 0, 0, 5, 27
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\common\views.dart", "Dart", 59, 0, 7, 22, 88
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\providers.dart", "Dart", 67, 0, 9, 8, 84
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\activity_helper.dart", "Dart", 24, 0, 0, 5, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\listen_for_updates.dart", "Dart", 88, 0, 6, 14, 108
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\save_activity.dart", "Dart", 9, 0, 30, 8, 47
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\variables.dart", "Dart", 4, 0, 0, 3, 7
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\_helpers\handle_errors.dart", "Dart", 21, 0, 4, 4, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\_helpers\helpers.dart", "Dart", 45, 0, 0, 8, 53
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\database.dart", "Dart", 56, 0, 0, 16, 72
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\get_space_data.dart", "Dart", 135, 0, 0, 16, 151
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\get_user_data.dart", "Dart", 48, 0, 4, 5, 57
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\storage.dart", "Dart", 101, 0, 12, 15, 128
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\sync_from_cloud.dart", "Dart", 132, 0, 27, 16, 175
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\firebase\sync_to_cloud.dart", "Dart", 110, 0, 53, 11, 174
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\hive\get_data.dart", "Dart", 9, 0, 0, 3, 12
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\hive\load_boxes.dart", "Dart", 43, 0, 2, 7, 52
